0,['hey\\ud83d\\ude0btoday'],['prepared'],['hot'],['\\ud83d\\udd25game'],['private'],['messages\\ud83d\\udc8c\\ud83e\\udd2d\\ud83e\\udd2b\\ud83d\\udc45\\ud83c\\udf46'],"[""'ll""]",['wait'],['you\\ud83d\\udca6\\ud83d\\ude08\\ud83d\\udc8b\\ud83d\\udd1e\\ud83d\\udc4subscribe'],,,,,,,,,,,,,,
147,['great'],['deal'],['mummies'],"[""''""]",,,,,,,,,,,,,,,,,,,
148,['grocery'],['store'],['work'],['apparently'],['really'],['busy'],['w'],['people'],['panic'],['buying'],['today'],,,,,,,,,,,,
149,['imagine'],['she\\u2019s'],['pretty'],['nice'],['girl'],['doesn\\u2019t'],['lot'],['say\\u2026i'],['imagine'],['she\\u2019s'],['p\\u202'],,,,,,,,,,,,
150,['first'],['talk'],['work'],['cancelled'],['today'],['result'],['cornoavirus'],['without'],['mention'],['whether'],['payment'],['be\\u2026'],"[""''""]",,,,,,,,,,
151,['days'],['ago'],['bolsonaro'],['said'],['coronavirus'],['fears'],['\\u20today'],['top'],['aide'],['tested'],['positive'],['amp'],['got'],['tested'],['a\\u2026'],"[""''""]",,,,,,,
152,['today'],['bihday'],['want'],['inform'],['day'],['queen'],['born'],['good'],['hea'],['great'],['persona\\u2026'],"[""''""]",,,,,,,,,,,
153,['proud'],['lbs'],['graduates'],,,,,,,,,,,,,,,,,,,,
154,['vs'],['pewamo-westphalia'],['high'],['school'],['girls'],['basketball'],['live\\nyellowjackets'],['vs'],['pirates\\nlive'],,,,,,,,,,,,,,
155,['thanks'],['see'],['announcement'],['today'],['curious'],['see'],['ftb'],['oth\\u202'],,,,,,,,,,,,,,,
156,['wont'],['talk'],['anything'],['else'],['today'],['thing'],['matters'],,,,,,,,,,,,,,,,
157,['fun'],"[""''""]",,,,,,,,,,,,,,,,,,,,,
158,['turned'],['2today'],['i\\u2019m'],['looking'],['glow'],['pictures'],['exactly'],['year'],['apa'],,,,,,,,,,,,,,
159,['today'],['campaign'],['decided'],['stop'],['in-person'],['events'],['canvassing'],['time'],['rely'],['grassroots'],['organizi\\u2026'],"[""''""]",,,,,,,,,,,
160,['great'],['theory'],['cancelled'],['flight'],['today'],,,,,,,,,,,,,,,,,,
161,['lovely'],['pups'],['iain'],['mine'],['little'],['white'],['imagine'],['muddy'],['paws'],['\\ngood'],['nite'],['sweet'],,,,,,,,,,,
162,['every'],['time'],['opens'],['mouth'],['god'],['chokes'],['praise'],['jesus'],"[""''""]",,,,,,,,,,,,,,
163,['rolling'],['new'],['mexico'],['today'],['\\ud83d\\ude0e'],['heard'],['unm'],['gets'],['pretty'],['lit'],['might'],['check'],,,,,,,,,,,
